regiao,estado,municipio,coduf,codmun,codRegiaoSaude,nomeRegiaoSaude,data,semanaEpi,populacaoTCU2019,casosAcumulado,casosNovos,obitosAcumulado,obitosNovos,Recuperadosnovos,emAcompanhamentoNovos,interior/metropolitana
Brasil,,,76,,,,2020-08-01,31,210147125.0,2707877,45392,93563,1088,1865729.0,748585.0,
Brasil,,,76,,,,2020-08-02,32,210147125.0,2733677,25800,94104,541,1883677.0,755896.0,
Brasil,,,76,,,,2020-08-03,32,210147125.0,2750318,16641,94665,561,1912319.0,743334.0,
Brasil,,,76,,,,2020-08-04,32,210147125.0,2801921,51603,95819,1154,1970767.0,735335.0,
Brasil,,,76,,,,2020-08-05,32,210147125.0,2857597,55676,97240,1421,2020637.0,741180.0,
Brasil,,,76,,,,2020-08-06,32,210147125.0,2912212,54615,98493,1253,2080916.0,781954.0,
Brasil,,,76,,,,2020-08-07,32,210147125.0,2962442,50230,99572,1079,2068394.0,794476.0,
Brasil,,,76,,,,2020-08-08,32,210147125.0,3012412,49970,100477,905,2094293.0,817642.0,
Brasil,,,76,,,,2020-08-09,33,210147125.0,3035422,23010,101049,572,2118460.0,815913.0,
Brasil,,,76,,,,2020-08-10,33,210147125.0,3057470,22048,101752,703,2163812.0,791906.0,
Brasil,,,76,,,,2020-08-11,33,210147125.0,3109630,52160,103026,1274,2243124.0,763480.0,
Brasil,,,76,,,,2020-08-12,33,210147125.0,3164785,55155,104201,1175,2309477.0,751107.0,
Brasil,,,76,,,,2020-08-13,33,210147125.0,3224876,60091,105463,1262,2356640.0,762773.0,
Brasil,,,76,,,,2020-08-14,33,210147125.0,3275520,50644,106523,1060,2384302.0,784695.0,
Brasil,,,76,,,,2020-08-15,33,210147125.0,3317096,41576,107232,709,2404272.0,805592.0,
Brasil,,,76,,,,2020-08-16,34,210147125.0,3340197,23101,107852,620,2432456.0,799889.0,
Brasil,,,76,,,,2020-08-17,34,210147125.0,3359570,19373,108536,684,2478494.0,772540.0,
Brasil,,,76,,,,2020-08-18,34,210147125.0,3407354,47784,109888,1352,2554179.0,743287.0,
Brasil,,,76,,,,2020-08-19,34,210147125.0,3456652,49298,111100,1212,2615254.0,730298.0,
Brasil,,,76,,,,2020-08-20,34,210147125.0,3501975,45323,112304,1204,2653407.0,736264.0,
Brasil,,,76,,,,2020-08-21,34,210147125.0,3532330,30355,113358,1054,2670755.0,748217.0,
Brasil,,,76,,,,2020-08-22,34,210147125.0,3582362,50032,114250,892,2709638.0,758474.0,
Brasil,,,76,,,,2020-08-23,35,210147125.0,3605783,23421,114744,494,2739035.0,752004.0,
Brasil,,,76,,,,2020-08-24,35,210147125.0,3622861,17078,115309,565,2778709.0,728843.0,
Brasil,,,76,,,,2020-08-25,35,210147125.0,3669995,47134,116580,1271,2848395.0,705020.0,
Brasil,,,76,,,,2020-08-26,35,210147125.0,3717156,47161,117665,1085,2908848.0,690642.0,
Brasil,,,76,,,,2020-08-27,35,210147125.0,3761391,44235,118649,984,2947250.0,695492.0,
Brasil,,,76,,,,2020-08-28,35,210147125.0,3804803,43412,119504,855,2976796.0,708503.0,
